expt,P_MPa,y_CO_in,T_K,tau,zeta_CO
1,4.03,0.102,522.0,79.2,0.036
2,4.04,0.102,522.2,88.6,0.050
3,4.01,0.102,522.5,94.7,0.047
4,4.05,0.102,522.2,108.5,0.032
5,4.05,0.102,521.4,123.8,0.077
6,4.01,0.102,522.1,137.8,0.085
7,4.04,0.102,521.4,142.3,0.091
8,4.02,0.102,522.2,173.2,0.128
9,4.05,0.102,520.6,189.0,0.133
10,4.06,0.102,521.9,230.0,0.193
11,4.08,0.102,522.6,264.6,0.177
12,4.03,0.102,522.2,169.2,0.223
13,4.05,0.102,520.9,279.4,0.228
14,4.06,0.102,522.3,295.2,0.284
15,4.02,0.102,521.8,343.1,0.283
16,4.03,0.102,522.3,447.5,0.413
17,4.05,0.102,521.9,476.8,0.397
18,4.05,0.102,522.5,483.1,0.427
19,4.05,0.102,522.3,615.2,0.509
20,4.05,0.102,520.6,1103.4,0.545
21,4.06,0.102,521.1,1211.4,0.583
22,5.04,0.102,520.9,95.4,0.061
23,5.02,0.102,520.8,175.1,0.190
24,5.06,0.102,521.1,177.4,0.177
25,5.04,0.102,520.9,203.1,0.198
26,5.03,0.102,521.0,217.1,0.208
27,5.03,0.102,520.9,228.2,0.230
28,5.04,0.102,520.2,349.7,0.367
29,5.06,0.102,521.0,454.6,0.528
30,6.01,0.102,521.5,147.6,0.193
31,6.05,0.102,522.2,152.9,0.181
32,6.05,0.102,521.1,216.0,0.313
33,6.05,0.102,521.2,223.2,0.220
34,6.05,0.102,520.5,231.5,0.311
35,6.06,0.102,520.5,245.9,0.348
36,6.08,0.102,521.3,272.4,0.359
37,6.08,0.102,522.6,336.2,0.483
38,6.03,0.102,522.1,386.3,0.508
39,6.07,0.102,521.1,535.7,0.569
40,6.01,0.102,521.4,555.5,0.686
41,6.07,0.102,520.5,750.2,0.755
42,6.01,0.161,522.2,73.4,0.097
43,6.02,0.161,522.3,76.0,0.111
44,6.01,0.161,522.7,85.0,0.133
45,6.02,0.161,522.7,97.3,0.153
46,6.07,0.161,522.2,117.7,0.293
47,3.09,0.382,499.6,20.7,0.011
48,3.09,0.382,499.4,40.6,0.027
49,3.08,0.382,499.6,55.8,0.026
50,3.09,0.382,499.7,56.2,0.026
51,3.09,0.382,499.6,60.9,0.032
52,3.10,0.382,499.7,61.5,0.029
53,3.09,0.382,499.1,84.2,0.042
54,3.10,0.382,499.4,126.4,0.061
55,3.09,0.382,499.5,126.5,0.054
56,3.10,0.382,499.6,133.6,0.066
57,3.08,0.382,499.1,161.1,0.072
58,3.09,0.382,499.8,166.1,0.069
59,3.10,0.382,513.8,16.2,0.020
60,3.10,0.382,513.9,27.1,0.018
61,3.10,0.382,513.1,55.4,0.032
62,3.13,0.382,513.5,57.6,0.033
63,3.11,0.382,512.9,60.5,0.043
64,3.10,0.382,513.4,92.9,0.060
65,3.10,0.382,514.0,103.6,0.063
66,3.11,0.382,534.4,56.3,0.058
67,3.09,0.382,535.8,118.6,0.100
68,3.09,0.382,535.8,118.8,0.098
69,3.10,0.382,542.6,7.8,0.017
70,3.07,0.382,542.2,25.7,0.057
71,3.10,0.382,543.6,30.0,0.049
72,3.10,0.382,543.6,35.9,0.058
73,3.07,0.382,543.5,39.2,0.076
74,3.08,0.382,544.6,46.1,0.085
75,3.09,0.382,545.4,51.9,0.087
76,3.10,0.382,542.8,58.5,0.104
77,3.10,0.382,546.0,61.6,0.107
78,3.10,0.382,544.8,82.2,0.113
79,3.10,0.382,543.9,87.3,0.114
80,3.10,0.382,545.5,88.0,0.124
81,5.07,0.382,514.6,30.8,0.015
82,5.06,0.382,515.7,44.2,0.028
83,5.09,0.382,515.7,50.4,0.025
84,5.10,0.382,513.1,61.6,0.024
85,5.06,0.382,514.9,97.4,0.066
86,5.08,0.382,514.9,341.3,0.174
87,5.10,0.382,515.5,447.3,0.240
88,5.08,0.382,515.5,8.5,0.010
89,5.10,0.382,514.3,21.5,0.020
90,5.11,0.382,514.1,22.0,0.030
91,5.10,0.382,514.1,22.2,0.030
92,5.08,0.382,514.3,51.7,0.028
93,5.09,0.382,513.8,55.4,0.064
94,5.06,0.382,533.6,14.8,0.026
95,5.06,0.382,533.8,23.9,0.037
96,5.06,0.382,533.7,74.2,0.108
97,5.06,0.382,533.6,115.2,0.116
98,6.04,0.382,541.2,24.5,0.066
99,6.05,0.382,541.0,48.7,0.101
100,6.03,0.382,537.2,86.2,0.130
101,6.06,0.382,537.6,89.8,0.134
102,6.06,0.540,514.0,4.3,0.010
103,6.07,0.540,515.3,6.1,0.014
104,6.07,0.540,514.9,22.4,0.032
105,6.10,0.540,514.9,26.1,0.036
106,6.06,0.540,514.9,36.0,0.042
107,6.05,0.540,534.3,5.9,0.010
108,6.04,0.540,531.7,22.1,0.013
109,6.06,0.540,529.5,25.8,0.031
110,6.06,0.540,538.0,93.9,0.052
